,words,rate
0,战略,10.978741547469694
1,德合,6.862297198461204
2,小微企业,6.838474378346423
3,德信,6.806891796978072
4,典当,6.647094878421228
5,金融,5.864069472315053
6,经营权,4.688445329017559
7,贷款人,4.111119922316865
8,产权交易,4.080859219021189
9,委托人,4.005033268870896
10,产业链,3.8813078621177666
11,部分股权,3.750283760652627
12,信托计划,3.500296274321653
13,协议书,3.3225535820850527
14,汽车空调,3.3060862353009535
15,车辆,3.3021813751618376
16,领域,3.0946381544681287
17,受托人,3.0010649583650837
18,后级,2.9815219013219436
19,建信,2.9445931111398083
