,words,rate
0,公司,2267.2312183093654
1,情况,1352.4504859727804
2,原因,1122.9679126932106
3,标的,989.1346973885428
4,交易,972.1292926837668
5,资产,918.4791112838876
6,合理性,882.0613411505358
7,报告期,667.8795524755774
8,会计师,624.7879154136272
9,业务,601.8783985234913
10,格式,544.9820293576536
11,预案,542.0563399614746
12,计提,540.7147620365265
13,净利润,518.2272735973598
14,事项,482.4853958616953
15,上市公司,456.6875629431444
16,金额,450.45751697138417
17,控股股东,449.4403457054243
18,公告,405.1022736824828
19,股权,341.70373637880965
