,words,rate
0,股票上市,49.55714982048161
1,董事会,39.32253947697768
2,总股本,37.9867153894752
3,高送转,35.77955653066097
4,核实,30.53753845761243
5,转增股本,29.022813033931264
6,知情人,22.21743424798041
7,方案,21.423655595977294
8,议案,20.85665165650735
9,收函,18.492439760965514
10,书面形式,18.16807907646037
11,含税,16.667767027239318
12,比例,15.639836731498562
13,内幕,15.066295982183501
14,资本公积金转增股本,14.66790266649343
15,减持,14.541377962837005
16,经营规模,12.793225236324838
17,派发现金红利,12.547281334578164
18,公司,12.53785266536913
19,函件,11.99498714848774
